Date,Horoscopes,Overview,Love,Dating,Work,Bonus
"June 28, 2021",Taurus,"Pick up any slack that’s gathered around your current career projects, Taurus. Now’s the time to send your focus towards maintenance and small fixes, as the moon roams through logical Aquarius. The moon’s lack of contacts makes for a slow, easygoing day, so don’t push yourself too hard. Luna slips into empathic Pisces and merges with optimistic Jupiter later on, delivering heart-lifting connections to your social network.
","Spruce up your humble abode and adorn your living space with beauty, Taurus. Your coquettish planetary ruler, Venus, made its official debut in Leo yesterday, activating your cozy fourth house of home, family, and emotional foundations. And though this transit tends to be more internal as opposed to romantically expressive, you could decide to bring your lover home to your parents. Moreover, today's moon will slip into dreamy Pisces via your experimental eleventh house of associations, community, and extended network. This highlights the desire to collaborate with like-minded groups of individuals and kindred souls. Care to double-date or go out with friends?
","If you're feeling lonely and want someone to get closer to, now is the time to try something bold. Check out the apps if you haven't yet, ask out the office hottie, or try something even nuttier.","Dear Taurus, your focus is shifting on your life path today. Perhaps a quick opportunity comes up or you receive word surrounding an innovative project. This is due to the Aquarius moon activating your tenth house of career and forming an opposition with Mars in Leo. Be open to the possibilities, the moon is also synergistic with Mercury in Gemini in your money sector. When you tap into the unique spirit of Aquarius at this time, you can see success in your work endeavors from a financial standpoint. 
",There's ambiguity around you -- don't sign legal documents and avoid commitments.
"June 29, 2021",Taurus,"Send your focus toward your sense of community today, Taurus. What friends do you need to reach out and reconnect with? Which of these friends are no longer fitting the bill for you? Luna’s presence in gentle Pisces presses you to explore your relationship to your social circle. The moon’s sweet connection with stagnation-breaking Uranus delivers a fresh spark of inspiration to your self-expression as well.
","Taurus, in order to obtain the romantic success you seek, you need to nurture your surroundings first. And while the sun energizes and revitalizes your curious third house of communication, thought process, and immediate networks, it will form a harmonious trine with the moon via your freedom-loving eleventh house of associations, future visions, and individual freedom. How do you expect to connect with like-minded individuals and potential prospects if you're denying what's right in front of you? Luna's square to Mercury challenges your bull-headed mind, as it reminds you to explore your horizons and consider other options. Don't stay stagnant.
","This is not the time to keep your feelings bottled in. Let them out before they explode! Even if it feels like you're bringing everyone down, you still need to be honest so you can all move past this.","Dear Taurus, you can feel a dose of luck today from the cosmos. Opportunity could strike that leads you more towards your future goals. The Pisces moon is activating expansive Jupiter retrograde in Pisces in your eleventh house of hopes and dreams. This planetary alignment is also bringing in influential people that can help support your ideas. It’s a great day to launch something online or discuss an important topic on social media. You never know who could be watching. 
",A dinner is a great time to toast to friendship. Tell them how happy they make you.
"June 30, 2021",Taurus,"Wednesday’s skies make it hard to see things clearly, Taurus. The moon wades through ethereal Pisces and spends the day merged with illusionist Neptune. This aspect increases sleepiness, escapism, and dreaminess. Be especially mindful of trying to be everything to everyone today, as it’s easy to lose track of boundaries. The moon’s meet-up with healing Pluto later on prompts potent insights around long-held beliefs.
","Would you be willing to consider other options, Taurus? The moon continues to wander through your platonic eleventh house of associations, community, and individual freedom, bringing emotional emphasis and intuitive clarity to themes surrounding your friendship circles, social media platforms, and sense of belonging in the world. Moreover, the moon will make a sweet sextile to smoldering Pluto—the ruler of your committed seventh house of one-on-one relationships—via your thrill-seeking ninth house of adventure and unknown territory. This could, in turn, inspire you to take a risk for the love you desire. The challenge? Don't let yourself become easily swayed by your network or peers. Choose wisely.
","Your people are incredibly important right now, so check in with those you rely on and make sure they all know their lines. You should be able to count on everyone to stick to the schedule.","Dear Taurus, miscommunication at work can leave you feeling deflated at this time. The emotionally reactive Pisces moon in your networking sector is forming a challenging aspect with the planet of thought, Mercury in Gemini in your second house of earned income. There could be discrepancies surrounding your worth and what you’re paid with a manager or important clients at work. Take your time with important conversations surrounding this area of your life. There is a way to still be professional. 
",What's better than being happy? Being content. Value what you have and be grateful.
"July 1, 2021",Taurus,"July kicks off with some intense energy, Taurus. Protect your peace by ensuring restorative alone time today. Hot-headed Mars locks into a stifling opposition with structure-seeking Saturn, bringing plans concerning your home environment and family connections to a momentary halt. This aspect can also stoke career tensions. So, take the hint to slow your pace and examine what’s standing in your path.
","Taking space is always a good idea, Taurus. This is especially true with your coquettish planetary ruler, Venus, sitting alongside red-hot Mars via your cozy fourth house of home, family, and emotional foundations. You're doing everything in your power to stay in your zen—and you're not budging either. Single? In addition to the moon transiting your sleepy twelfth house, it will be in harmony with Mars and Venus, which is always charming. Although, you're not really in the mood to socialize today, given the desire to nest and indulge in the pleasure of home sweet home. Get some beauty sleep instead.
","You've been struggling lately to take over every project, and it's wearing at your already thin resolve. Find someone to step in and help before you lose your mind -- and, worse, your friends' and coworkers' goodwill.","You can feel irritated at work today, dear Taurus. Be careful not to allow your emotions to run the show. The reactive Aries moon is in your subconscious mind and forming a difficult square with the Cancer moon in your communication sector. Not only that, but the moon is forming an activation with Chiron which can bring up where you have not fully honored your leadership qualities. It’s time to dig deep today and advocate for what you need to get your work done. Self-care is important and it’s up to you to set the boundaries. 
",Tolerance is right up there with being a good person when it comes to being human.
"July 2, 2021",Taurus,"Unplug yourself from the world today, Taurus. You need ample time away to process the frustrations that have emerged in recent days. Let yourself sneak off to your favorite patch of nature and get lost in a solo activity. The me-first Aries moon links up with expressive Mercury too, making it easy to tap into your talents and regain a sense of balance through them.
","Check in with yourself before committing to the romantic venture you've been craving, Taurus. Sounds never-ending, but the process of healing is essential to your happiness—especially when it comes to sharing your life with someone. Who knows… this could very well be a ""no strings attached"" situationship. But even then, it's important to prioritize your emotional stability. The moon continues to hover over your inhibited twelfth house of closure, hidden agendas, and all things behind the scenes. This is bringing emotional clarity to themes surrounding your desire for solitude, as well as unconscious patterns you might not have been aware of. Luna's square to Pluto could trigger compulsion and obsession, so take your time.
","When life gets boring, there's only one solution: Go on a rampage. Turn up the music, turn down the lights and live for the moment.","Taurus, you can feel pushed to speak up for you in relation to your career path. Perhaps you have been focusing on developing your leadership skills, and now you can have important conversations about advancement. This could be a raise, promotion or simply more responsibilities. This is due to the hidden Aries moon forming a supportive aspect with communicative Mercury in Gemini in your second house of self-worth. Ask for what you truly need compensation-wise at this time, you will receive!
 
",You've struggled to get the power you have -- so respect the people you've defeated.
"July 3, 2021",Taurus,"Saturday’s skies are likely to be contentious, Taurus. Hotheaded Mars locks into a square with freedom-seeking Uranus, prompting heightened tempers and an intense need for space. This tension is likely to emerge between home/family demands and your own sense of independence, as you grapple with past and present versions of yourself. Acknowledge what outgrown patterns need releasing, rather than setting everything on fire! 
","Lean on your friends and soul tribe for the support you need, Taurus. This is especially true for those of you who continue to second-guess yourselves or a romantic situation that's been weighing over your head. Luna will slip into your sign today and shed light on everything from your innermost feelings to your desire for emotional stability. So typical of you, right? Although, a charming sextile between the moon in your sign and lucky Jupiter in your freedom-loving eleventh house of individual freedom encourages you to explore your options. Or, perhaps give someone the benefit of the doubt in the process.
","You're the center of the universe, at least for one important person. You feel great about yourself, and with good reason. Keep up the good work!","Dear Taurus, expect career shifts from past sources today. The Taurus moon is activating cosmic shifter, Uranus in Taurus, and also forming a challenging connection with Saturn retrograde in Aquarius in your career sector. A past colleague or manager could come to you and This shift will align you with a position that is more in alignment with your value and who you are to others. Choose what truly aligns with you on a soul level and ask the right questions. 
 
",Put the fun back in your romance -- schedule a date night and visit a new hot spot.
"June 27, 2021",Taurus,"It’s easy to feel heavy about the trajectory of your career today, Taurus. Rather than succumb to feelings of self-doubt, sit with what’s standing in your path. Why is it there in the first place? The progressive Aquarius moon’s meeting with realistic Saturn prompts this heavy but all important mindset. Later, the moon swirls with sharp Mercury, making it easier to stay productive and activate your skills.
","The more you honor your personal boundaries and self-worth, the easier it will become to take the initiative in your love life, Taurus. And despite whether you're single or already smitten in love with your cutie, today's sweet trine between the moon in your tenth house of boss moves and Mercury in your stability-seeking second house of values will create a harmonious synergy between your heart and will. On a more challenging note, however, Luna's conjunction with Saturn could feel like a heavy weight on your shoulders. But by that same token, it's an opportunity for you to cultivate more self-discipline. 
","Your heart isn't safe, but that doesn't mean thieves are on the prowl. It just means it's incredibly hard for you to resist the urge to finally impulsively kiss that hottie. ","This is your time to shine, Taurus! Launching a new project, feeling more expressive, or developing innovative ideas can come easily to you. Venus, your planetary ruler, is moving into the sign of creative Leo where it will join driven Mars. This transit is all about embracing your unique expression and sharing it with others. The Aquarius moon is in your tenth house of career, also encouraging you to think “outside the box” with your ideas. Tap into this confident cosmic energy to improve your work today.
",This indecision is out of character for you -- don't be afraid to be impulsive.
"June 28, 2021",Aries,"Things are slow to start this week, Aries. Lean into the relaxed pace, as the moon coasts through mentally-minded Aquarius. Luna’s lack of contacts makes for an easygoing, but somewhat aimless day—with a focus on long-term goals and community connections. Later, the moon dips into “feelingful” Pisces and merges with mood-boosting Jupiter—increasing your need for peaceful, restorative time in solitude. 
","Dream a little dream, Aries. With the element of water in today's astro weather, you're probably running low on energy. Single? You may or may not decide to raincheck. That is, unless they're cool with laying low and settling for some “Netflix and chill.” See, in addition to the moon slipping into the mystical sign of Pisces via your sleepy twelfth house of closure, karma, rest, and everything happening behind the scenes, it will also join forces with Jupiter retrograde. This not only brings emphasis to your dreams and repressed emotions, it also encourages you to trust in the kindness of others. 

","Check in with your folks preemptively. There's almost certainly some weird tension between you right now, but it can be grounded pretty easily with a quick chat. Roll your eyes and get on with it.","Aries, this is a good day for mental clarity to be able to focus on your work. If you can schedule tedious tasks, it will serve you well. The Aquarius moon is in your eleventh house of goals, dreams, and community, forming a harmonious trine aspect with Mercury in Gemini in your communication sector. Together, these planets are in air signs, the most logical and mentally dynamic signs. Take time to create an organized to-do list. 
","Over email or the telephone, your meaning will be lost. Talk to them face to face."
"June 29, 2021",Aries,"Spend some time in solitude today, Aries. You’re in desperate need of a recharge and should refrain from involving yourself in any taxing social situations. Luna’s presence in peace-seeking Pisces makes it an ideal day for rest and recuperation—especially if that involves an autonomous activity that activates your creativity. Luna’s smooth contact with electric Uranus helps you breathe fresh life into your talents.
","Today's moon will light up your secretive twelfth house of closure, dreams, hidden agendas, and all things behind the scenes which, in turn, encourages you to go inward and retreat from the day-to-day grind, but there's more. Luna will be in harmony and in mutual reception with the sun in your fourth house of home, family, and emotional foundations, and you're ready for a well-deserved hiatus. Does your cutie give you a hard time about taking space, Aries? A square between the moon and Mercury via your communication sector could create friction between the need to express your innermost feelings and what you're actually communicating. Speak clearly.
","Your older friends, the ones who are pretty much like family to you, are weirdly making life a little harder than it needs to be. If you can't set them straight no one can, so get on it!","Aries, this is a day to share your work ideas with others. The Pisces moon is forming a connection with expansive Jupiter in Pisces retrograde in your hidden twelfth house. You could feel influenced to discuss ideas at work that you have been working on quietly. The good news is that clients or VIPs can be receptive to this. The moon is also forming a harmonious connection with Pluto retrograde in your career house. You have been working hard and now, you can reap the rewards. 
",Need an emotional outlet? You won't find it in food. Try exercise instead.
"June 30, 2021",Aries,"Reality is hard to reach today, Aries. Let yourself hide away for another day, as you long to escape the mundane and need ample time alone to recover your sense of self. The dreamy Pisces moon merges with reality-bending Neptune, putting a sleepy, spaced-out haze around the day. Later, Luna aligns with transformation-prompting Pluto, showing you what needs deep changing around your career trajectory.
","Don't be bossy, Aries. Feelings are intense—especially if we're referring to your innate desire to take over the world. However, despite whether you're single or already attached, today's moon-Neptune conjunction will illuminate your secretive twelfth house of closure, dreams, hidden agendas, and all things behind the scenes. This triggers an overwhelming sense of compassion and empathy. So, you can already imagine what happens when the moon makes a sextile to smoldering Pluto in your tenth house of authority, but this is where it gets tricky. You may think you have all of the answers, but the cosmos wants you to see things clearly… at least before making a judgment call.
","Maybe you have kids, maybe you know kids, or maybe you're just a child on the inside, but today is best spent playing and not taking life too seriously. You haven't done it in years.","Aries, having fun can also be a part of work too. You are finding joy in your tasks and new creative projects can come up today for you. Expressive Venus in Leo is in your fifth house of self-expression and forming a connection with driven Mars. This is giving you a lot of drive and passion for your work. Taking time for a creative brainstorm can help you tremendously today. Who knows what work can develop for you; be open to change at this time. 
",A female presence stirs up emotions -- good and bad. It's healthy and overdue.
