Hot Releases,Rating,Price
PULSAR: Lost Colony,88.14%,£15.59
Labyrinth City: Pierre the Maze Detective,87.82%,£8.95
Vedelem: The Golden Horde,85.54%,Free
Rail Route,84.84%,£10.25
RoboLife-Days with Aino,84.63%,£10.25
STRIDE.net,84.24%,-
TAISHO x ALICE epilogue,83.77%,£6.83
Out of Line,81.11%,£9.26
Super Magbot,80.83%,£11.59
SCARLET NEXUS,80.17%,£39.99
Slobbish Dragon Princess LOVE + PLUS,80.00%,£3.59
LIP! Lewd Idol Project Vol. 1,80.00%,£4.15
Eiyu*Senki Gold - A New Conquest,79.84%,£23.62
Sun Haven,79.48%,£19.49
Suspicious Downpour,78.83%,Free
