Most Played Games,Players Now,Peak Today
Counter-Strike: Global Offensive,"632,028","748,956"
Dota 2,"533,172","679,040"
Team Fortress 2,"121,522","142,190"
PLAYERUNKNOWN'S BATTLEGROUNDS,"116,032","369,933"
Rust,"107,996","107,996"
Apex Legends,"106,916","230,978"
Grand Theft Auto V,"84,261","126,377"
ARK: Survival Evolved,"74,851","84,758"
Tom Clancy's Rainbow Six Siege,"69,654","82,527"
Football Manager 2021,"64,187","68,557"
Dead by Daylight,"60,151","65,202"
Rocket League,"56,080","62,603"
Sea of Thieves,"52,171","59,263"
Destiny 2,"51,331","60,724"
Garry's Mod,"38,583","38,909"
