Most Played Games,Players Now,Peak Today
Counter-Strike: Global Offensive,"632,488","748,956"
Dota 2,"534,797","679,040"
Team Fortress 2,"121,953","142,190"
PLAYERUNKNOWN'S BATTLEGROUNDS,"117,736","369,933"
Apex Legends,"108,158","230,978"
Rust,"107,749","107,749"
Grand Theft Auto V,"84,945","126,377"
ARK: Survival Evolved,"75,053","85,116"
Tom Clancy's Rainbow Six Siege,"69,654","82,527"
Football Manager 2021,"64,247","69,049"
Dead by Daylight,"60,029","65,202"
Rocket League,"56,735","62,603"
Sea of Thieves,"52,073","59,263"
Destiny 2,"51,188","60,724"
Garry's Mod,"38,849","38,934"
